exhibit_number,id,Production date,Find spot,Materials,Technique,Inscription,Subjects,Assoc name,Culture,Section,Place,description,production_year_min,production_year_max,is_date_range,date_parse_status,find_spot_city,find_spot_country,location_parse_status
67,5482,630-670,Found/Acquired: Luoyang (?),earthenware,glazed,,,,Tang dynasty,Tang dynasty,China,"This Tang dynasty figure, produced between 630-670 CE, is crafted from straw-colored lead-glazed earthenware and embellished with cold-painted details. The artifact exemplifies the innovative ceramic techniques of the Tang period, characterized by its sophisticated glazing methods. The piece was discovered in or near Luoyang, a city renowned as a cradle of Chinese civilization and a center of cultural and artistic development during the Tang era. This figure serves as a testament to the aesthetic grandeur and technical prowess of Chinese artisans, reflecting the era's cultural richness and the advanced artistry along the Silk Road.",630.0,670.0,True,success,Luoyang,China,success
68,5484,670-740 (Possibly modern copy),Found/Acquired: China,stoneware,glazed,,horse/ass,,Tang dynasty,Tang dynasty,China,"This artifact is a figure of a horse with a saddle, crafted from glazed stoneware that exhibits a striking red-brown hue with a straw-colored glaze. Originating from the Tang dynasty, it dates back to approximately 670-740 CE, though there remains a possibility that it is a modern copy. The horse figure, emblematic of the cultural significance of equines in ancient China, reflects the artistic and technical expertise of the Tang period. It was discovered in China, suggesting its connection to the rich traditions and equestrian practices of the time. Its preservation in glazed stoneware underscores the durable yet aesthetic qualities prized by Tang artisans.",670.0,740.0,True,success,China,China,success
69,5491,618-906,Found/Acquired: China,earthenware,lead-glazed,,horse/ass,,Tang dynasty,Tang dynasty,China,"This artifact is a lead-glazed earthenware horse figurine from the Tang dynasty, dating between 618-906 CE, reflecting the period's artistic flair in decorative ceramics. Characterized by its distinctive green and orange glaze over a buff backdrop, the piece emanates a vivid yet harmonious palette, typical of Tang-era ceramics that were often employed in funerary practices to symbolize status and vitality in the afterlife. The figurine was found in China, aligning with the Tang dynasty's geographic and cultural realm, and its depiction of an equine subject highlights the historical significance of horses in Tang society as symbols of power and military might.",618.0,906.0,True,success,China,China,success
70,5492,640-670,Found/Acquired: Luoyang (?),earthenware,glazed,,horse/ass,,Tang dynasty,Tang dynasty,China,"This Tang dynasty figure, dated between 640-670 CE, represents a horse adorned with a saddle, exemplifying the artistic finesse of the era. Crafted from yellowish clear lead-glazed stoneware, this piece is a quintessential expression of the period's ceramic artistry, highlighting the significance of horses in Tang culture, not only for transportation but also as symbols of status and power. The item was likely found in Luoyang, China, an area rich in historical influences and a hub of Tang dynasty culture. The earthenware composition, coupled with its glazed technique, reflects the Tang craftsmen's expertise in producing enduring and visually captivating artifacts.",640.0,670.0,True,success,Luoyang,China,success
71,5498,630-680,Found/Acquired: China,earthenware,glazed,,soldier,,Tang dynasty,Tang dynasty,China,"This soldier figure, crafted from glazed earthenware, originates from the Tang dynasty and was produced between 630-680 CE. The figure is a testament to the exquisite ceramic artistry of the Tang period, capturing the essence and militaristic spirit of its time. Intricately made, the glaze gives the figure a lustrous finish that highlights its detailed features. It was discovered in China, contributing valuable insights into burial practices and the representation of military figures in Tang dynasty society. This artifact exemplifies the period's sophisticated production techniques and cultural emphasis on the valorization of military personnel.",630.0,680.0,True,success,China,China,success
72,5516,728 (Date recorded for the death of general Liu Tingxun.),Found/Acquired: Luoyang,earthenware,glazed,,mammal,,Tang dynasty,Tang dynasty,China,"This 'Sancai' (three-colour) ceramic tomb figure of a camel, originating from the Tang dynasty, was crafted in 728 CE, a date recorded in conjunction with the death of General Liu Tingxun. Made from brown and green glazed earthenware, the figure is notable for its decorated saddlebag, which features a 'monster' mask designed to ward off potential dangers. The use of vivid glaze colors is characteristic of the era's artistic tradition, reflecting the Tang dynasty's penchant for vibrant, multifunctional art forms aimed at protecting the deceased in the afterlife. This artifact was found in Luoyang, a city renowned for its rich history and cultural significance during the Tang period.",728.0,728.0,False,success,Luoyang,China,success
73,5520,618-906,Found/Acquired: China,porcelain,glazed,,animal,,Tang dynasty,Tang dynasty,China,"This porcelain figure of a lion, originating from the Tang dynasty in China and dating from 618-906 CE, exemplifies the refined craftsmanship of the era. It is crafted from buff porcelain and adorned with a cream and green splashed glaze, giving it a distinctive and vibrant appearance. The lion, a common subject in Tang dynasty art, symbolizes power and protection, reflecting the cultural significance of such figures in Chinese tradition. This artifact was found in China, contributing to our understanding of Tang dynasty artistry and its legacy in ceramic production.",618.0,906.0,True,success,China,China,success
74,5527,640-670,Found/Acquired: China,earthenware,glazed,,animal; equestrian; horse/ass,,Tang dynasty,Tang dynasty,China,"This Tang dynasty artifact, dating from 640-670 CE, is a striking figure of a horse with a rider, expertly crafted from yellowish clear-glazed and painted stoneware. Both the rider and the horse are depicted wearing armor, showcasing the period's attention to detail in artistic expression and possibly reflecting the cavalry's importance in Tang military structure. This piece embodies the equestrian themes prevalent in Tang dynasty art, representing not only the artistic elegance but also the cultural significance of horses during this era. Unearthed in China, this figure stands as a testament to the sophistication and craftsmanship of Tang dynasty artisans.",640.0,670.0,True,success,China,China,success
75,5530,618-906,Found/Acquired: China,earthenware,painted,,,,Tang dynasty,Tang dynasty,China,"This elegant figure of a lady, crafted from painted earthenware, originates from the Tang dynasty, dating between 618-906 CE. The artifact exemplifies the Tang period's artistic expression, renowned for its vibrant use of color and lifelike representation. While specific inscriptions are absent, the piece's cultural context suggests it could have been part of burial or ritual settings, reflecting the period's emphasis on opulence and ceremonial practices. The figure was discovered in China, further anchoring it in the historical narrative of a dynasty known for its artistic flourish and influence across regions.",618.0,906.0,True,success,China,China,success
76,5540,630-680,Found/Acquired: Luoyang (?),earthenware,glazed,,soldier,,Tang dynasty,Tang dynasty,China,"This figure of a soldier, crafted from straw-colored lead glazed earthenware, originates from the Tang dynasty, dating approximately between 630-680 CE. Its production in China reflects the artistic styles and ceremonial practices of the period. The figure's material and glazing technique highlight the sophisticated craftsmanship of Tang artisans, known for their skillful use of earthenware materials and glaze technology to create lifelike representations. Although uninscribed, the piece vividly embodies the militaristic themes prevalent during the era. It was found, or possibly acquired, from Luoyang, a historically significant city that served as a prominent cultural and political center during the Tang dynasty, providing a valuable context for understanding its historical and cultural significance.",630.0,680.0,True,success,Luoyang,China,success
77,5550,618-750,Found/Acquired: China,earthenware,glazed,,,,Tang dynasty,Tang dynasty,China,"This earthenware tomb figure from the Tang dynasty, dating from 618-750 CE, represents a young man with notably dark skin, depicted in a poised stance with his right arm raised. The figure is crafted from beautifully glazed earthenware, showcasing a palette of green and brown hues that highlight the artistry typical of Tang funerary ceramics. Such figures were commonly placed in tombs as attendants or guardians, reflecting the belief in an afterlife where the deceased would require companionship and protection. This artifact was discovered in China, further underscoring its cultural origins and the widespread practice of including such figures in burial sites during the Tang dynasty.",618.0,750.0,True,success,China,China,success
78,5556,640-670,Found/Acquired: Luoyang (?),earthenware,glazed,,,,Tang dynasty,Tang dynasty,China,"This Tang dynasty figure, produced between 640-670 CE, depicts a soldier from an honor guard, distinguished by his fengmao, a specific type of headwear. Constructed from yellowish clear lead-glazed earthenware, the figure exhibits the intricate craftsmanship and artistic style of the period. The glazed technique employed provides the artifact with a distinctive luster, characteristic of Tang ceramic art. This piece was found, or acquired, in Luoyang, an ancient Chinese city known for its historical significance and rich cultural heritage during the Tang era.",640.0,670.0,True,success,Luoyang,China,success
79,5569,630-670,Found/Acquired: Luoyang,stoneware,glazed,,,,Tang dynasty,Tang dynasty,China,"This exquisite figure from the Tang dynasty, produced between 630-670 CE, represents a lady with her right arm raised and her left arm lowered, showcasing the graceful artistry of the era. Crafted from straw-colored lead-glazed stoneware, this piece exemplifies the sophisticated glazing techniques of Tang artisans. No inscriptions adorn the sculpture, leaving its narrative to be interpreted through its form and craftsmanship. This artifact was discovered in Luoyang, China, an area renowned for its historical significance during the Tang period, adding to its cultural and archaeological value.",630.0,670.0,True,success,Luoyang,China,success
80,5577,618-906,Found/Acquired: China,stoneware,glazed,,fruit,,Tang dynasty,Tang dynasty,China,"This exquisite flask from the Tang dynasty, dating from 618-906 CE, exemplifies the sophisticated artistry of glazed stoneware prevalent in China during this era. The flask's gourd shape, a form often associated with fertility and abundance, highlights the cultural symbolism of fruit motifs, which were popular decorative elements at the time. The translucent glaze accentuates the smooth curves and form, reflecting the technical prowess of Tang dynasty artisans in ceramic production. Discovered in China, this artifact offers a glimpse into the material culture of the period, showcasing the aesthetic values and technological advancements in ceramic craftsmanship.",618.0,906.0,True,success,China,China,success
81,5723,589-906,Found/Acquired: China,stoneware,glazed,,,,Sui dynasty; Tang dynasty,Tang dynasty,China,"This stoneware jar, dating from 589-906 CE and originating from China, exemplifies the craftsmanship of the Sui and Tang dynasties. The vessel is notable for its four loop handles and the application of a Yue-type glaze that beautifully covers the top half of the exterior, showcasing the distinct glazing techniques associated with this period. The artifact was found in China, providing a tangible link to the flourishing ceramic traditions that characterized the cultural landscape of these dynasties, known for their artistic innovation and refinement.",589.0,906.0,True,success,China,China,success
82,5773,618-906,Found/Acquired: China,earthenware,glazed,,plum blossom/tree,,Tang dynasty,Tang dynasty,China,"This Tang dynasty earthenware lid, dating from 618-906 CE, exemplifies the exquisite sancai technique, characterized by its vibrant yellow, green, and white glaze. The piece is adorned with the motif of a plum blossom, a symbol often associated with perseverance and resilience in Chinese culture. Despite the absence of inscriptions, the lid's aesthetic and craftsmanship reflect the sophisticated artistry of the era. Unearthed in China, this artifact offers a glimpse into the rich cultural and artistic traditions of the Tang dynasty, renowned for its flourishing arts and ceramics.",618.0,906.0,True,success,China,China,success
83,5792,618-906,Found/Acquired: Shanxi (province),ceramic,moulded,"Inscription type: inscription Inscription position: back Inscription language: Chinese Inscription script: standard script Inscription transliteration: da tang shang ye wojen [?] de ru miyau se shen Inscription translation: In the reign of the great Tang, worthy gift to obtain the true body of the Buddha Inscription note: Inscription in twelve boxes",buddha,Representation of: Buddha,Tang dynasty,Tang dynasty,China,"This expertly crafted ceramic plaque from the Tang dynasty, dated between 618-906 CE, exemplifies the rich artistic heritage of China’s Buddhist culture. The plaque depicts a central seated Buddha, accompanied by nine subsidiary Buddhas, showcasing the iconographic style typical of the period. Notably, the reverse of the plaque bears a stamped inscription in Chinese standard script, structured in twelve boxes. This inscription reads, ""In the reign of the great Tang, worthy gift to obtain the true body of the Buddha,"" indicating the artifact's spiritual significance as a devotional object. Made using a moulding technique, this grey ceramic plaque was discovered in Shanxi province, further connecting it to the Tang dynasty's regional influence in promoting Buddhism across China.",618.0,906.0,True,success,Shanxi,China,success
84,5795,618-906,Found/Acquired: China,earthenware,lead-glazed,,amphibian,,Tang dynasty,Tang dynasty,China,"This artifact is a Tang dynasty rattle, dating from 618-906 CE, masterfully crafted in the shape of a wart-skinned toad. Constructed from earthenware with a lead glaze, the object exhibits a distinctive green hue, a hallmark of Tang ceramic artistry. The rattle, embodying an amphibian form, reflects the naturalistic and whimsical design preferences during this period. Discovered in China, this piece underscores the cultural significance of toads within Chinese symbolism, often associated with prosperity and protection. Its craftsmanship and material choice offer insights into the technical and artistic advancements achieved during the Tang dynasty.",618.0,906.0,True,success,China,China,success
85,9852,400BC (circa),Excavated/Findspot: Cyrenaica (modern),pottery,painted; incised,,discus; classical deity; athlete; classical sport,Representation of: Athena/Minerva,Attic,Greek,Greece,"This Attic black-figured Panathenaic amphoriskos, dating to approximately 400 BC, offers a glimpse into ancient Greek culture and artistry. Crafted from pottery using painted and incised techniques, its designs feature black figures on buff panels separated by narrow bands. On one side, the goddess Athena stands between two Doric columns with a high-crested helmet, a long chiton with diploidion, and a shield on her left arm, brandishing a spear with her right. A cock adorns the left column's plinth. The reverse depicts an athletic scene with a nude, beardless athlete holding a diskos and interacting with a paidotribes, who extends a wand in his left hand. The amphoriskos, potentially a toy, souvenir, or votive offering, was excavated in modern Cyrenaica, illustrating its role in the dissemination of Attic culture throughout the Greek world.",-400.0,-400.0,False,success,Cyrenaica,Libya,success
86,3206,600 BC - 570 BC (mainly),Excavated/Findspot: Scarab Factory,glazed composition,mould-made; incised; pierced,"Inscription type: inscription Inscription position: underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription note: The cross-shaped symbol between two discs could be interpreted as a debased version of wah-ib-Ra, the Horus name of Psamtek I, or nomen of Apries (Gorton 1996, 93).",,Named in inscription: Psamtek I (?);  Named in inscription: Apries (?),26th Dynasty,Ancient Egyptian,Egypt,"This Ancient Egyptian scarab, dating from 600 to 570 BC, originates from the 26th Dynasty and is believed to have been crafted at the Scarab Factory. Made from a glazed composition using mold-made, incised, and pierced techniques, the scarab has endured significant erosion over the centuries. While the back is notably rubbed, the divisions for the head, prothorax, and elytra remain discernible. The scarab's underside, although badly worn, features an incised vertical line separating a possibly unidentified figure to the right and a partial cartouche to the left. This cartouche contains three debased hieroglyphic signs, potentially representing a cross-shaped symbol flanked by two discs. This symbol might be interpreted as a debased version of the Horus name of Psamtek I or the nomen of Apries, based on interpretations by Gorton. The scarab, with its light yellow paste and almost nonexistent glaze—whether due to erosion or absence—is longitudinally pierced, reflecting the intricate artistry and symbolic significance embedded in Egyptian craftsmanship and regal iconography.",-600.0,-570.0,True,success,Scarab Factory,Egypt,success
